"TOTAL_CUENTAS","CUENTAS_ABIERTAS","CUENTAS_CERRADAS","CUENTAS_CON_ATRASO","AÑOS_DE_CREDITO","SALDO_ACTUAL","SALDO_VENCIDO","NUMERO_PAGOS_VENCIDOS","SALDO_VENCIDO_PEOR_ATRASO","VALOR"
13,4,9,1,15,2664,2125,45,6125,506
13,7,6,1,6,23740,13408,219,12995,514
18,5,13,5,7,82954,28803,25,991,451
13,7,6,5,8,134634,16113,14,774,433
22,6,16,1,17,185431,6072,41,6072,585
8,4,4,2,10,349359,30538,41,22350,575
20,7,13,0,13,332235,0,18,0,529
21,6,15,4,9,30749,8262,24,2160,478
13,6,7,2,14,26824,11990,26,7857,590
10,4,6,3,12,26011,6116,44,4086,567
16,11,5,9,12,66301,28036,43,2315,443
20,3,17,2,8,11702,18772,125,11702,648
19,1,18,1,13,3469,3469,0,2210,645
7,3,4,3,7,46027,5578,14,1409,526
12,7,5,5,10,449063,53779,64,10007,518
19,5,14,4,7,24490,32474,51,26904,451
13,3,10,1,7,22782,12406,5,12406,508
25,9,16,7,12,122415,54892,358,8118,443
15,10,5,2,20,1867010,102718,0,0,469
19,6,13,0,21,429627,0,19,3154,646
41,14,27,1,17,61472,506,136,1308,470
7,2,5,2,5,76768,74342,0,0,570
17,3,14,1,12,7874,4106,34,4106,646
13,10,3,2,12,393913,12236,30,5248,425
23,13,10,2,11,360616,4274,64,919,443
17,7,10,0,21,93100,0,52,4792,448
31,7,24,2,16,25899,25055,25,16486,495
10,6,4,3,6,59085,9413,13,0,517
6,4,2,1,13,449593,1689,0,0,621
9,3,6,4,7,11239,27703,52,16464,517
7,4,3,3,10,95917,92882,0,2806,520
38,11,27,4,8,140981,9292,177,5125,446
33,17,16,3,6,597169,1083,20,631,511
11,3,8,3,14,43997,43997,166,26475,448
11,8,3,7,10,40548,22908,55,4826,442
5,2,3,2,11,7485,7485,15,6655,538
15,9,6,0,21,197982,0,0,0,715
19,7,12,6,9,46488,99515,198,14398,451
8,5,3,1,6,25018,11415,14,0,557
20,9,11,0,18,313208,0,25,0,548
21,17,4,3,13,406381,75404,36,4280,418
44,6,38,2,8,504837,4294,18,764,457
10,8,2,8,7,304236,492565,2,2117,467
5,2,3,1,7,9143,9143,116,9143,562
21,7,14,2,69,71195,2113,111,3928,591
12,3,9,1,9,27641,23590,62,23590,516
38,5,33,0,9,76105,0,69,3103,646
18,6,12,4,12,26758,26758,109,15161,408
99,12,87,4,8,258393,4392,46,72547,477
4,2,2,0,12,198821,0,0,4892,673
13,7,6,4,6,39017,2139,288,2554,534
9,7,2,2,6,46550,2351,28,1892,593
15,10,5,0,16,307193,0,13,2269,520
12,5,7,4,16,197718,49967,2,21418,554
4,2,2,1,4,23656,2349,24,2361,548
12,7,5,2,11,99241,3401,20,0,513
6,1,5,0,17,0,0,15,0,703
19,6,13,3,8,7759,7759,83,2775,520
9,4,5,3,14,16928,17648,28,9918,458
23,8,15,0,10,40212,0,0,0,668
24,7,17,5,15,107592,47934,156,23494,558
26,4,22,2,12,4931,4204,32,6121,489
20,8,12,12,9,181482,218559,170,4566,445
13,5,8,4,11,52580,47276,77,32635,405
8,0,8,1,5,0,2901,0,0,521
56,6,50,3,15,12270,7349,56,4144,469
20,6,14,2,8,67081,242,40,448,569
18,8,10,2,13,72635,5267,6,12221,469
13,9,4,8,12,1123473,341133,82,28200,462
7,1,6,0,11,19225,0,25,0,489
117,21,96,12,9,249380,312170,295,130753,395
5,3,2,3,9,10441,10441,36,7509,525
46,13,33,3,17,247070,37971,97,28443,489
58,9,49,12,8,78652,39019,170,20712,460
10,5,5,6,16,15992,343746,127,7275,578
18,9,9,3,16,319681,21775,21,10425,449
8,5,3,0,10,181630,0,0,0,690
8,5,3,1,14,53209,7551,50,7551,410
8,0,8,0,7,0,0,121,6087,466
22,16,6,1,69,611593,3379,4,768,555
59,21,38,6,19,491205,13118,72,4900,491
29,9,20,13,13,247284,362542,251,21868,475
18,5,13,0,4,34323,0,7,3969,660
21,6,15,5,17,29025,27240,192,6598,529
10,7,3,5,11,209911,18423,57,1850,483
11,2,9,2,6,150347,25545,28,0,472
12,5,7,0,11,1093616,0,24,2200,500
70,7,63,5,10,75183,52225,10,13507,426
6,1,5,1,9,422,5547,0,0,537
36,7,29,2,12,350552,111766,0,0,492
8,6,2,5,20,7352087,6021824,148,5992181,488
10,2,8,4,13,310297,403870,69,160306,528
19,13,6,0,6,141192,0,9,350,555
5,3,2,2,4,40874,1648,55,1250,514
5,1,4,0,6,3329,0,220,5387,512
20,13,7,10,19,592373,827409,131,89152,392
44,6,38,8,18,117498,165795,52,7757,561
8,2,6,0,10,5900,0,7,11035,559
26,11,15,8,13,330997,71834,193,12388,406
7,3,4,3,13,556216,64114,25,30853,524
29,19,10,1,11,172077,1603,111,471,580
9,5,4,5,8,22010,21835,20,2310,436
3,1,2,0,3,4208,0,9,6823,524
8,5,3,1,16,20004,3706,24,3706,575
10,6,4,7,9,66862,91184,119,26205,401
18,12,6,8,13,56998,19740,69,2480,490
19,6,13,4,22,52429,118282,54,0,554
16,14,2,2,15,236768,3780,18,0,498
12,6,6,2,13,241257,52669,24,49048,601
7,5,2,4,32,124663,118569,110,3151,483
18,0,18,0,10,0,0,28,4613,594
82,4,78,2,17,10640,21215,23,9890,691
3,1,2,0,11,3860,0,0,1250,657
16,4,12,1,17,41175,4208,6,1805,600
7,4,3,5,9,71693,52746,107,4357,506
29,2,27,1,13,23898,6589,27,6589,524
23,6,17,5,18,530868,120399,16,1493,466
61,10,51,3,13,170951,48926,304,35496,556
20,11,9,5,34,171074,21351,79,0,453
10,8,2,6,6,181002,64404,79,4541,527
11,4,7,1,5,1706,71,201,2441,540
33,5,28,2,12,77504,7575,12,6730,452
14,2,12,2,14,37463,37463,29,37100,584
6,4,2,4,15,390063,72983,20,4517,462
26,4,22,6,13,63395,62869,196,1911000,489
3,1,2,2,7,11237,22568,47,0,490
11,4,7,4,10,18383,18383,23,6314,450
13,3,10,0,7,31314,0,23,1827,504
11,6,5,3,6,7740,33882,110,3929,487
9,3,6,2,12,57165,19778,24,13086,477
3,1,2,1,6,0,6365,10,0,620
7,3,4,3,6,28790,28790,34,27440,452
14,11,3,0,7,61310,0,6,0,617
14,12,2,2,25,1071493,33298,60,17040,445
26,5,21,7,7,122216,122216,227,2542295,461
10,4,6,3,7,12338,7734,64,2480,478
41,14,27,5,13,597045,67929,75,0,446
26,7,19,2,10,400205,67161,68,67160,516
19,7,12,5,12,21034,19906,119,10491,636
15,12,3,12,8,146950,138836,160,7485,406
10,4,6,1,8,20399,4758,44,4758,673
14,11,3,3,19,204520,9115,61,4940,368
29,6,23,3,9,150764,109799,64,2520,494
7,4,3,4,19,14551,99401,99,5734,491
11,0,11,1,7,0,1599,46,2904,572
414,7,407,4,14,73241,62308,61,47385,423
6,3,3,0,4,56543,0,0,0,659
6,3,3,2,9,102920,25269,0,0,620
7,3,4,2,13,217123,3721,43,6177,552
16,10,6,6,6,361044,134551,84,3171,435
16,7,9,6,12,368832,180473,161,97159,473
37,4,33,5,8,150932,117876,43,3896,455
42,9,33,7,19,728821,61922,128,31035,479
8,6,2,3,8,10575,10575,286,6906,525
36,8,28,8,32,33406,47598,145,8773,453
16,6,10,0,14,65610,0,0,0,691
10,8,2,0,5,148745,0,0,0,613
17,10,7,6,8,126056,6572,14,847,400
54,8,46,7,19,55766,60610,170,18980,397
10,4,6,3,10,215872,6968,110,3561,558
14,11,3,7,6,259131,26980,65,5387,418
37,11,26,6,13,259525,19464,91,18445,460
30,7,23,5,8,58360,32684,48,19788,506
21,6,15,6,13,50393,47262,169,19327,473
